item,label,date,platforms,country_of_origin,mobygames_id,youtube_url
http://www.wikidata.org/entity/Q117842302,Charly,1967,CDC 1604,,,
http://www.wikidata.org/entity/Q117842320,NIM,1968,,,,
http://www.wikidata.org/entity/Q117842332,Tell,1974,HP 2100,,,
http://www.wikidata.org/entity/Q117842315,Jeu de Flipper,1978,Smaky,,,
http://www.wikidata.org/entity/Q117842341,Viktor,1980,Intel 8085,,,
http://www.wikidata.org/entity/Q117842311,Jagdszene Chicago,1985,"BBS software for the Texas Instruments TI-99/4A,Texas Instruments TI-99/4A",,,
http://www.wikidata.org/entity/Q117842334,Top-Tennis,1985,Atari ST,,,
http://www.wikidata.org/entity/Q124300354,Cave Flight,1985,Sinclair ZX81,,,
http://www.wikidata.org/entity/Q124300364,Robox,1986,Commodore 64,,,https://www.youtube.com/watch?v=LXF4z_QFBSQ
http://www.wikidata.org/entity/Q124300360,Kremlin,1986,Atari ST,,,
http://www.wikidata.org/entity/Q55263826,Insanity Fight,1987,"Atari ST,Commodore Amiga,iOS",,16307,https://www.youtube.com/watch?v=qWFQ5bc2sXI
http://www.wikidata.org/entity/Q104915714,Ball Raider,1987,"AmigaOS,Commodore Amiga",,57752,https://www.youtube.com/watch?v=cv3Y_C6mbnw
http://www.wikidata.org/entity/Q1384124,Exolon,1987,"Atari ST,Amstrad CPC,Commodore Amiga,Commodore 64,ZX Spectrum",,14493,
http://www.wikidata.org/entity/Q104912918,Bong,1987,Smaky,,,
http://www.wikidata.org/entity/Q117842306,Exitor,1987,"AmigaOS,Commodore Amiga",,,
http://www.wikidata.org/entity/Q117842313,Jeu d'échecs,1987,Smaky,,,
http://www.wikidata.org/entity/Q117842319,Mur,1987,Smaky,,,
http://www.wikidata.org/entity/Q117842322,Ping,1987,Smaky,,,
http://www.wikidata.org/entity/Q117842327,Spot 3001,1987,Commodore 64,,,
http://www.wikidata.org/entity/Q117842342,War Heli,1987,Atari ST,,,
http://www.wikidata.org/entity/Q123022842,Kaiser,1987,"Atari ST,Commodore Amiga,MS-DOS",,81761,
http://www.wikidata.org/entity/Q124300365,Space Battle,1987,Commodore Amiga,,,
http://www.wikidata.org/entity/Q117842305,Dugger,1988,"Atari ST,Commodore Amiga",,27063,"https://www.youtube.com/watch?v=MuFxie93Ayk,https://www.youtube.com/watch?v=Cld5XdMiZLE"
http://www.wikidata.org/entity/Q25205873,Eliminator,1988,"Atari ST,Amstrad CPC,Commodore Amiga,Commodore 64,ZX Spectrum",,13335,
http://www.wikidata.org/entity/Q117233966,Crack,1988,Commodore Amiga,,27060,
http://www.wikidata.org/entity/Q117842335,Toto à la Campagne,1988,Smaky,,,
http://www.wikidata.org/entity/Q117842343,Warriors of the Wasteland,1988,Commodore 64,,,
http://www.wikidata.org/entity/Q124300358,Giganoid,1988,Commodore Amiga,,65657,
http://www.wikidata.org/entity/Q124300356,Garrison,"1988,1987","Commodore Amiga,Commodore 64",,9292,"https://www.youtube.com/watch?v=WDnCO7bEtJ4,https://www.youtube.com/watch?v=s2Nydndl7kc,https://www.youtube.com/watch?v=MKDsZcyqzwI"
http://www.wikidata.org/entity/Q30900426,Leonardo,1989,"Atari ST,AmigaOS,Commodore Amiga,Commodore 64",,38043,"https://www.youtube.com/watch?v=BjldkkA9tAE,https://www.youtube.com/watch?v=RpzarxEPMAs,https://www.youtube.com/watch?v=5bKgdL2mBj8"
http://www.wikidata.org/entity/Q116874975,Clown-O-Mania,1989,"Atari ST,AmigaOS,Commodore Amiga",,54056,"https://www.youtube.com/watch?v=HF4U6Yn35AE,https://www.youtube.com/watch?v=L2haDq5IMw0"
http://www.wikidata.org/entity/Q117842292,Akropolis,1989,Commodore 64,,,
http://www.wikidata.org/entity/Q117842293,Aventura I: Le Manoir Maudit,1989,Atari ST,,,
http://www.wikidata.org/entity/Q117842321,Pamehta,1989,"AmigaOS,Commodore Amiga",,,
http://www.wikidata.org/entity/Q117842324,Ringside,1989,"AmigaOS,Commodore Amiga,Commodore 64",,114780,
http://www.wikidata.org/entity/Q123019707,Skate of the Art,1989,Commodore Amiga,,74660,
http://www.wikidata.org/entity/Q123019871,Baby Bug,1989,Commodore Amiga,,72007,
http://www.wikidata.org/entity/Q2150630,The Champ,"1989,1991","ZX Spectrum,Commodore Amiga,Commodore 64",,25791,"https://www.youtube.com/watch?v=uzTUaOi8PuY,https://www.youtube.com/watch?v=cVE7WjXOHoo"
http://www.wikidata.org/entity/Q2201772,The Neverending Story II: The Arcade Game,1990,"AmigaOS,DOS,Commodore Amiga,Commodore 64,MS-DOS,ZX Spectrum",,528,"https://www.youtube.com/watch?v=K1iXCq3ixLc,https://www.youtube.com/watch?v=qO0KQu4C-Qo,https://www.youtube.com/watch?v=WoGe2Z9_iT0"
http://www.wikidata.org/entity/Q117461818,Antares,1990,"AmigaOS,Commodore Amiga,Atari ST",,54542,
http://www.wikidata.org/entity/Q117842304,Colwyns Abenteuer,1990,"AmigaOS,Commodore Amiga",,,
http://www.wikidata.org/entity/Q117842314,Jeu de Dames,1990,Smaky,,,
http://www.wikidata.org/entity/Q117842338,Fun with Blupi,1990,Smaky,,,
http://www.wikidata.org/entity/Q124300352,Aventura II: Le Livre des Druides,1990,Atari ST,,,
http://www.wikidata.org/entity/Q16267810,Gate,1991,"Classic Mac OS,Apple IIGS,Apple II series,macOS",,165387,
http://www.wikidata.org/entity/Q116749932,Poizone,1991,"arcade video game machine,Acorn Archimedes",,79017,
http://www.wikidata.org/entity/Q117842297,Boingmaster,1991,Commodore 64,,,
http://www.wikidata.org/entity/Q117842301,Championship Shooting,1991,"AmigaOS,Commodore Amiga",,,
http://www.wikidata.org/entity/Q117842309,HB Fahrfestival 91,1991,"AmigaOS,Commodore Amiga",,,
http://www.wikidata.org/entity/Q117842339,Toto se promène,1991,Smaky,,,
http://www.wikidata.org/entity/Q117842345,Worldwide Hunting,1991,"AmigaOS,Commodore Amiga",,,
http://www.wikidata.org/entity/Q119720187,QUOVADIS,1991,,,,
http://www.wikidata.org/entity/Q123019970,Gnome,1991,Commodore Amiga,,,
